Year	Domain	Name	Nationality	Gender
1969	Medicine	 Salvador E. Luria 	USA	Male
1969	Peace	 International Labour Organization 	Switzerland	Organization
1969	Physics	 Murray Gell-Mann 	USA	Male
1968	Chemistry	 Lars Onsager 	USA	Male
1968	Literature	 Yasunari Kawabata 	Japan	Male
1968	Medicine	 Robert W. Holley 	USA	Male
1968	Medicine	 H. Gobind Khorana 	USA	Male
1968	Medicine	 Marshall W. Nirenberg 	USA	Male
1968	Peace	 Rene Cassin 	France	Male
1968	Physics	 Luis Alvarez 	USA	Male
1967	Chemistry	 Manfred Eigen 	Germany	Male
1967	Chemistry	 Ronald G.W. Norrish 	UK	Male
1967	Chemistry	 George Porter 	UK	Male
1967	Literature	 Miguel Angel Asturias 	Guatemala	Male
1967	Medicine	 Ragnar Granit 	Sweden	Male
1967	Medicine	 Haldan K. Hartline 	USA	Male
1967	Medicine	 George Wald 	USA	Male
1967	Physics	 Hans Bethe 	USA	Male
1966	Chemistry	 Robert S. Mulliken 	USA	Male
1966	Literature	 Shmuel Agnon 	Israel	Male
1966	Literature	 Nelly Sachs 	Sweden	Female
1966	Medicine	 Charles B. Huggins 	USA	Male
1966	Medicine	 Peyton Rous 	USA	Male
1966	Physics	 Alfred Kastler 	France	Male
1965	Chemistry	 Robert B. Woodward 	USA	Male
1965	Literature	 Mikhail Sholokhov 	USSR	Male
1965	Medicine	 Francois Jacob 	France	Male
1965	Medicine	 Andre Lwoff 	France	Male
1965	Medicine	 Jacques Monod 	France	Male
1965	Peace	 United Nations Children's Fund 	USA	Organization
1965	Physics	 Richard P. Feynman 	USA	Male
1965	Physics	 Julian Schwinger 	USA	Male
1965	Physics	 Sin-Itiro Tomonaga 	Japan	Male
1964	Chemistry	 Dorothy Crowfoot Hodgkin 	UK	Female
1964	Literature	 Jean-Paul Sartre 	France	Male
1964	Medicine	 Konrad Bloch 	USA	Male
1964	Medicine	 Feodor Lynen 	Germany	Male
1964	Peace	 Martin Luther King Jr. 	USA	Male
1964	Physics	 Nicolay G. Basov 	USSR	Male
1964	Physics	 Aleksandr M. Prokhorov 	USSR	Male
1964	Physics	 Charles H. Townes 	USA	Male
1963	Chemistry	 Giulio Natta 	Italy	Male
1963	Chemistry	 Karl Ziegler 	Germany	Male
1963	Literature	 Giorgos Seferis 	Greece	Male
1963	Medicine	 Sir John Eccles 	Australia	Male
1963	Medicine	 Alan L. Hodgkin 	UK	Male
1963	Medicine	 Andrew F. Huxley 	UK	Male
1963	Peace	 International Committee of the Red Cross 	Switzerland	Organization
1963	Peace	 League of Red Cross Societies 	Switzerland	Organization
1963	Physics	 Maria Goeppert-Mayer 	USA	Female
1963	Physics	 J. Hans D. Jensen 	Germany	Male
1963	Physics	 Eugene Wigner 	USA	Male
1962	Chemistry	 John C. Kendrew 	UK	Male
1962	Chemistry	 Max F. Perutz 	UK	Male
1962	Literature	 John Steinbeck 	USA	Male
1962	Medicine	 Francis Crick 	UK	Male
1962	Medicine	 James Watson 	USA	Male
1962	Medicine	 Maurice Wilkins 	UK, New Zealand	Male
1962	Peace	 Linus Pauling 	USA	Male
1962	Physics	 Lev Landau 	USSR	Male
1961	Chemistry	 Melvin Calvin 	USA	Male
1961	Literature	 Ivo Andric 	Yugoslavia	Male
1961	Medicine	 Georg von Bekesy 	USA	Male
1961	Peace	 Dag Hammarskjold 	Sweden	Male
1961	Physics	 Robert Hofstadter 	USA	Male
1961	Physics	 Rudolf Mossbauer 	Germany	Male
1960	Chemistry	 Willard F. Libby 	USA	Male
1960	Literature	 Saint-John Perse 	France	Male
1960	Medicine	 Sir Frank Macfarlane Burnet 	Australia	Male
1960	Medicine	 Peter Medawar 	UK	Male
1960	Peace	 Albert Lutuli 	South Africa	Male
1960	Physics	 Donald A. Glaser 	USA	Male
1959	Chemistry	 Jaroslav Heyrovsky 	Czechoslovakia	Male
1959	Literature	 Salvatore Quasimodo 	Italy	Male
1959	Medicine	 Arthur Kornberg 	USA	Male
1959	Medicine	 Severo Ochoa 	USA	Male
1959	Peace	 Philip Noel-Baker 	UK	Male
1959	Physics	 Owen Chamberlain 	USA	Male
1959	Physics	 Emilio Segre 	USA	Male
1958	Chemistry	 Frederick Sanger 	UK	Male
1958	Literature	 Boris Pasternak 	USSR	Male
1958	Medicine	 George Beadle 	USA	Male
1958	Medicine	 Joshua Lederberg 	USA	Male
1958	Medicine	 Edward Tatum 	USA	Male
1958	Peace	 Georges Pire 	Belgium	Male
1958	Physics	 Pavel A. Cherenkov 	USSR	Male
1958	Physics	 Il??ja M. Frank 	USSR	Male
1958	Physics	 Igor Y. Tamm 	USSR	Male
1957	Chemistry	 Lord Todd 	UK	Male
1957	Literature	 Albert Camus 	France	Male
1957	Medicine	 Daniel Bovet 	Italy	Male
1957	Peace	 Lester Bowles Pearson 	Canada	Male
1957	Physics	 Tsung-Dao Lee 	China	Male
1957	Physics	 Chen Ning Yang 	China	Male
1956	Chemistry	 Sir Cyril Hinshelwood 	UK	Male
1956	Chemistry	 Nikolay Semenov 	USSR	Male
